label,cleaned_tweet
Politik,lu mau pro demokrasi di negara ini bisa punya kesempatan lagi buat ngelawan oligarki di indo pilih amin tpi jangan pilih pks pilih partai buruh jangan pilih prabowo dan semua partai pengusungnya pilih gama tpi jangan pilih pdip pilih partai buruh
Demografi,prabowo ditanya soal hutang luar negeri dia menjawab hutang luar negeri indonesia masih terhitung rendah dan dia tak khawatir intervensi asing akibat hutang seperti krisis moneter saat orde baru dibantah ganjar hutang luar negeri demi infrastruktur bisa berbahaya by the way bajunya ganjar matching dengan tema debat anies menegaskan normal hutang luar negeri yg aman tak lebih dari gdp hutang dipakai menhan membeli alutsista bekas adalah suatu kesia siaan prabowo tak merespon soal alutsista bekas karena jika membeli baru uang yg dikeluarkan lebih besar 
Pertahanan dan Keamanan,kiki daliyo ganjar pranowo itulah beliau sosok yang mengagunhkan nilai nilai pancasila dan banyak memberikan kesadaran yg baik buat kita semua ganjarmerawatpancasila mahfud hebat happy new year
Geografi,prabowo gibran yang bisa melakukan itu semua demi kesejahteraan rakyat
Sumber Daya Alam,lah justru yg gak nyambung junjungan elu aomkmkmkmk ngomongin etika tapi ngatain pak anies omon omon sambil nyenyek tuh gimana aayaa pak anies masih sopan lho gak ngakak brutal atau pasang wajah mengejek waktu dia asbun hutang atau nyuruh belajar ekonomi lagi 
Pertahanan dan Keamanan,nelayan tak bisa terus terjebak dalam kredit macet oleh karena itu ganjar pranowo mahfud md bersama kita buka pintu kebebasan nelayankebebasan ganjarpranowopilihanumat ganjarmahfudrebound jnk
Pertahanan dan Keamanan,prabowo anti kebebasan pers
Geografi,kontrak terbuka ganjar pranowo adalah cermin dari kepedulian untuk kita semua yuk bersama jaga kedaulatan pangan jnk ganjarmahfudrebound ganjarpranowopilihanumat
Ideologi,ganjar mahfud hebat pak ganjar selalu menjungjung tinggi toleransi dan menerapkan bhineka tunggal ika ganjar mahfud hebat
Geografi,ganjar mahfud adalah harapan baru untuk pertumbuhan ekonomi kita happy new year
Ideologi, diplomasi ganjar lipat anis saat anis tanya nilai wo dipancing anis keluarin blunder angka penghinaan beda dan wajar dgan angka
Ideologi,malu maluin dari gemoy ke minyak gorengaaa apakah tidak ada cara kampanye yang lebih terhormat you masyarakat dan demokrasi kenapa masyarakat dan demokrasi diukur ukur dg sembako dan rupiah contoh lah desak aniesaaa terhormat 
Politik,saking pen junjungan mrk brkuasa ap sj dlanggar dan sj mlempem letoy hdapi planggaran mrk yg tak bretika aaya aaaya aaaya aminajadulu
Demografi,manifesto gerakan rakyat untuk perubahan lintas profesi di pantura jawa tengah kompak dukung anies muhaimin amin 
Politik,masyaallah gegap gempita para santriwan santriwati saat menyambut kehadiran ganjar ke ponpes an nawawi berjan purworejo selain semarak dari barisan santri dalam kunjungannya ganjar pranowo turut mendapat doa terbaik supaya hajatnya menjadi kepala negara untuk memberikan kesejahteraan kepada rakyat indonesia dikabulkan oleh tuhan yang maha esa aamiin 
Sosial Budaya,sesi saling tanya antar capres digunakan ganjar dan anies kompak untuk menyikat prabowo anies bertanya ke prabowo hubungannya etika pemimpin negara dengan pertahanan negara di sini anies bermaksud menyerang etika jokowi soal pencawapresan gibran juga terkait adanya kader gerindra yg menjadi rekanan kemhan mereka ialah glenny kairupan yudi magio yusuf prasetyo hadi angga raka prabowo komisaris dari pt tmi prabowo menjawab aaajangan menghasut dan menyesatkan rakyat demi ambisi pribadi begitu prof anies baswedan prabowo berpendapat anies tak layak bicara etika untuk ganjar prabowo menjelaskan kelayakan alutsista yg ia beli masih layak tahun pakai ia membandingkan membeli alutsista baru selain nominalnya besar mengurus pembeliannya memakan waktu bertahun tahun menurut prabowo setelah dibeli baru bisa digunakan tahun selanjutnya 
Sumber Daya Alam,setuju jgn sampai pajak dinaikkan bisa amblas keuangan generasi dukung yg nyata saja ganjar mahfud lah pilihannya ganjar mahfud lah jawabannya ganjarmahfudsatset ganjarpresiden ganjarsikatkorupsi ganjaruntuksemua
Politik,dengan ganjar mahfud kita bisa berharap peningkatan investasi riset dan inovasi industri unggulan akan menjadi kenyataan happy new year
Geografi,kampanye politik anies dalam pilgub dki mempengaruhi dinamika masyarakat di mana generasi tua memendam kebencian yang sulit diperbaiki oleh generasi muda berdampak pada kohesi sosial antar kelompok usia dalam populasi 
Sosial Budaya,anies mengatakan bansos berasal dari uang pajak rakyat bukan berasal dari pribadi seseorang untuk kepentingan masyarakat 
Sumber Daya Alam,upaya pemberantasan korupsi anies ingin kembalikan kekuatan kpk lewat revisi uu tempovideo
Ideologi,aa aa taufikdamasaa netizengan staaaa qtaa netizengan aa kakekhalalaa antikorupsi setya novanto sebut ganjar pranowo terima duit ktp us ribuaa ganjar mahfud hebat nelayanaa sejahtera
Ekonomi,capres cawapres ganjar pranowo dan mahfud md mari bersama sama kita buka jalan bagi nelayan yang terjebak kredit macet sebagai hasilnya mereka dapat melangkah menuju kebebasan finansial nelayanbukajalan ganjarpranowopilihanumat ganjarmahfudrebound jnk
Pertahanan dan Keamanan,apalagi kita sebgai negara kepulauan bagian pasifik utara kita harus punya selatan bagian barat dan timur ngra di dua samudra colek pak
Sosial Budaya,kehadiran sosokaa capresaa nomor urut tiga pada pemilu ganjar pranowo di tpi desa karanganyar kabupaten rembang membuat nelayan setempat bersuka cita mereka senang ketika mengetahuiaa ganjar pranowoaa membawa program unggulan berupa penghapusan kredit macet atau utang bagi para nelayan ganjar menyebutaa utangaa yang dimiliki nelayan tidak besar dan bisa untuk dibantu dilunaskan pemerintah pihaknya sudah menghitung jumlah kredit macet di sektor perikanan indonesia ganjar mengatakan jumlah kredit macet tidaklah banyak sekitar rp miliar ganjar mahfud sahabatganjar
Pertahanan dan Keamanan,rt abah online meroket figur pak anies semakin populer di kalangan anak anak milenial dan anak anak gen gagasan dan gaya komunikasi pak anies tentu berhasil memikat anak anak muda terutama anak anak gen dan ini memberi warna baru dalam kancah berpoltikan
Geografi,habis debat soal pesawat bekas prabowo teken kontrak msn indonesiakuatindonesiamaju
Geografi,ganjar pranowo dan mahfud md pembela kesejahteraan rakyat ganjar mahfud hebat memimpin indonesia
Pertahanan dan Keamanan,ganjar pranowo itu bukan cuma pemimpin yang mikirin kepentingan diri sendiri tapi juga kepentingan rakyat dan kebebasan berpendapat di masyarakat ganjarpranowopilihanumat jnk ganjarmahfudrebound
Pertahanan dan Keamanan,harus nya seperti ini duduk bersila diacara untuk menjawab dan mengklarifikasi atau mengclearkan tuduhan atau isu penculikan dan pelanggaran ham yang dialamatkan kedia agar tidak ada lagi asumsi isu pelanggaran ham dan penculikan hanya muncul saat pilpres
Sumber Daya Alam,isue tahunan yg trus dimunculkan cyber hti dkk era orba militer adlah alat yg dikedepankn demi stabilitas politik dri pemerintah yg otoriter adalah sngt tdk logis jika krusuhan yg bgitu masif hanya prabowo yg brtanggung jawab makanya tdk pernah ada pengadilannya 
Ekonomi,padahal tnp usung anies di dki jadi partai gurem emang ada geri dra yg layak jadi gubernur 
Politik,byangin aja orang lebih marah anies gagal mencapai target dp dibanding jokowi gagal menepati janji tidak impor dan memperkuat kpk belum bahas janji yang lain ya gw hingga saat ini masih ga pernah dapet jwbn dari haters anies kenapa mereka tidak se kritia itu thdp janji owi
